modality,epoch,count,mean,std,min,25%,50%,75%,max
cxr,Bin 1,4400.0,0.00012423838731647743,0.00011570248273066262,5.349005027257664e-07,4.414212903074208e-05,9.054073706423878e-05,0.00016965351344615,0.001
cxr,Bin 2,4400.0,0.015004856773383285,0.016086140053418154,8.558607821860704e-06,0.005557555189019575,0.0106350996743757,0.017580831358950277,0.138781374923851
cxr,Bin 3,4400.0,0.006028159206343073,0.017118561271974825,1.623401032277211e-07,7.153604737151429e-05,0.00017377143555975,0.00039841391218444996,0.1640288468374678
cxr,Bin 4,4400.0,0.013336369898477862,0.01555518528611294,5.5886250115968254e-05,0.0037771069925561,0.0085237361720803,0.0161914187417785,0.1323792167600442
cxr,Bin 5,4400.0,0.003998661536591044,0.00681561559251164,8.305892692863951e-06,0.0008741150028352251,0.00187629658722245,0.003564676770280125,0.0767524961937249
cxr,Bin 6,4400.0,0.001927068844894491,0.001764597150307047,1.2004022875405331e-05,0.0006919991846657,0.001376045563954,0.0025930456025998,0.0152424365418635
cxr,Bin 7,4400.0,0.004027474597955356,0.003981725255155419,5.83180053101198e-06,0.001323023152453575,0.0028901937941526,0.0053367440333311,0.0461750877291937
cxr,Bin 8,5176.0,0.008751312584228246,0.013204351835454228,1.942665051781105e-06,0.001852887505485925,0.004953230906095649,0.0095767218506994,0.1318803406638554
ecg,Bin 1,4400.0,0.009481204840931097,0.008881767167350675,1.1863626412649744e-05,0.003186972111477225,0.00684036973219255,0.013108382319240976,0.1027614287987243
ecg,Bin 2,4400.0,0.004270216058871608,0.00397510135022424,1.0370339609418527e-06,0.0009910653830802001,0.0031758678348864002,0.006433311362241575,0.0213530246857395
ecg,Bin 3,4400.0,0.015873588514624316,0.017023643319467246,2.005830955814725e-06,0.003071981406799625,0.009056012207428299,0.0253369403609514,0.0876211131456137
ecg,Bin 4,4400.0,0.012064313736058986,0.010076370254909857,1.8115452632553524e-05,0.00430370220477885,0.009144665160333701,0.017434871943592674,0.0674811414993589
ecg,Bin 5,4400.0,0.0034451861982139043,0.0024780664278926073,1.9313730535429604e-05,0.001333487746769475,0.00291163895181605,0.005216686052026074,0.0170960765225406
ecg,Bin 6,4400.0,0.012812156506177471,0.009560776723048163,0.0001440391755697,0.0057156266210935495,0.00998977768606535,0.017755753583629876,0.0667521740490349
ecg,Bin 7,4400.0,0.013584387576338617,0.01040168152419051,0.0001931233763608,0.005957924883330575,0.010514683824642199,0.01830956240396965,0.0728649965280837
ecg,Bin 8,5176.0,0.011974752311365652,0.01874170221640554,2.3668461937744483e-06,0.001910782180694925,0.00593756074950225,0.014507424323336876,0.142700600110015
text,Bin 1,4400.0,0.009104815306830919,0.008531384348353824,2.74814919851884e-05,0.003665017236293425,0.0069727202546812,0.011641181841669174,0.086802662807363
text,Bin 2,4400.0,0.027995492746238602,0.02197482315422444,2.316518561465001e-06,0.01065805867375065,0.0251077452005939,0.042660211206397854,0.1301990483683445
text,Bin 3,4400.0,0.020004330083153426,0.013980277969229401,0.0005279424844401,0.009198639994728301,0.01576093798125565,0.028714106141088148,0.0821718372717705
text,Bin 4,4400.0,0.02813686126236137,0.015501756194988914,4.848577819348552e-05,0.016315905433428625,0.02569830140532825,0.0377819220507937,0.0930869311353955
text,Bin 5,4400.0,0.024038732481019915,0.013332561304605002,0.000451576904727,0.01310387641914725,0.022920748325679502,0.033115431901817254,0.0759895090100398
text,Bin 6,4400.0,0.014017592384009491,0.007831606595913131,0.0003196201277761,0.0090630968009208,0.01207669690255445,0.0166678330893266,0.0753562880510009
text,Bin 7,4400.0,0.014189305346990337,0.009406383855734673,0.0008235393173017,0.008202532127992025,0.011707138101662951,0.016961515320053827,0.0710450655424278
text,Bin 8,5176.0,0.025374415227115928,0.018224157854601086,4.395124791968392e-05,0.01056769742851005,0.021632584942515,0.0371445338750941,0.1009272323328113
ts,Bin 1,4400.0,0.01185672610675458,0.015622362121526477,1.7871463768040012e-05,0.00267278168702825,0.00661364363609185,0.0146579585060175,0.1784181073184046
ts,Bin 2,4400.0,0.031211036425302915,0.040896508885105584,1.97619506381844e-05,0.0063930301076931,0.0162980875450759,0.0380062771710502,0.337043341595114
ts,Bin 3,4400.0,0.014711480890931534,0.02442655894851752,1.8126863626656905e-06,0.0018303735914069,0.0057637232218726,0.015541049767591526,0.2515117042315472
ts,Bin 4,4400.0,0.023759114413488748,0.0335627792199714,1.2312109596441908e-06,0.004345098181250525,0.0118806838823864,0.027743113820802825,0.3008733087066108
ts,Bin 5,4400.0,0.013981108806534961,0.019141968233820167,1.6943809424638648e-06,0.00190503049503705,0.0058786098711519,0.017671101792100876,0.1442655853373374
ts,Bin 6,4400.0,0.020842257919960864,0.031995172421634764,4.554111696423503e-06,0.004341636115976275,0.01065765607065825,0.022510001519703525,0.3045693392735342
ts,Bin 7,4400.0,0.01422983897229929,0.023091176475353827,6.710423417949475e-06,0.0020619442921509497,0.0061722713708106496,0.01571732360816875,0.2580516558476743
ts,Bin 8,5176.0,0.02118370012768801,0.03180051654151192,1.015433597799992e-05,0.00345383926759765,0.00950728307060245,0.023378761120122875,0.2532976214086111
